lon,lat,ws_mean
121.0,26.5,5.9929
121.125,26.5,6.2913
121.25,26.5,6.5165
121.375,26.5,5.693
121.5,26.5,5.6341
121.625,26.5,6.3362
121.75,26.5,6.5075
119.625,26.625,5.1284
119.75,26.625,4.8758
119.875,26.625,4.9105
120.125,26.625,2.6799
120.25,26.625,2.5317
120.375,26.625,5.7335
120.5,26.625,4.2829
120.625,26.625,5.0211
120.75,26.625,4.4986
120.875,26.625,4.9839
121.0,26.625,5.4272
121.125,26.625,5.6216
121.25,26.625,5.742
121.375,26.625,6.2661
121.5,26.625,5.6637
121.625,26.625,5.8706
121.75,26.625,6.1818
119.625,26.75,5.1587
120.0,26.75,5.7295
120.25,26.75,3.2237
120.375,26.75,5.6423
120.5,26.75,4.702
120.625,26.75,3.147
120.75,26.75,5.1169
120.875,26.75,4.1698
121.0,26.75,4.8008
121.125,26.75,5.1334
121.25,26.75,5.5631
121.375,26.75,5.9087
121.5,26.75,6.1594
121.625,26.75,5.8831
121.75,26.75,5.9742
120.125,26.875,5.6726
120.25,26.875,4.9119
120.375,26.875,2.9336
120.5,26.875,3.2679
120.625,26.875,5.3694
120.75,26.875,4.9868
120.875,26.875,3.95
121.0,26.875,4.6572
121.125,26.875,5.0707
121.25,26.875,5.4355
121.375,26.875,5.6225
121.5,26.875,5.5081
121.625,26.875,5.618
121.75,26.875,5.7451
120.375,27.0,5.3164
120.5,27.0,2.9244
120.625,27.0,2.796
120.75,27.0,5.0001
120.875,27.0,5.2412
121.0,27.0,4.089
121.125,27.0,4.7866
121.25,27.0,4.9289
121.375,27.0,5.2832
121.5,27.0,6.0168
121.625,27.0,5.77
121.75,27.0,6.0152
120.5,27.125,6.5447
120.625,27.125,2.9764
120.75,27.125,2.1155
120.875,27.125,3.7174
121.0,27.125,3.8758
121.125,27.125,3.9573
121.25,27.125,5.192
121.375,27.125,5.4174
121.5,27.125,5.6601
121.625,27.125,6.0588
121.75,27.125,6.3352
120.625,27.25,2.9904
120.75,27.25,3.285
120.875,27.25,1.4959
121.0,27.25,3.7368
121.125,27.25,3.9364
121.25,27.25,4.5484
121.375,27.25,5.7114
121.5,27.25,6.0058
121.625,27.25,6.0328
121.75,27.25,6.2881
120.75,27.375,3.9524
120.875,27.375,3.048
121.0,27.375,4.9873
121.125,27.375,4.5806
121.25,27.375,4.6138
121.375,27.375,4.7672
121.5,27.375,6.101
121.625,27.375,6.4714
121.75,27.375,6.6034
120.75,27.5,2.9575
120.875,27.5,4.6992
121.0,27.5,4.6395
121.125,27.5,6.4226
121.25,27.5,6.3602
121.375,27.5,5.0065
121.5,27.5,5.2006
121.625,27.5,5.7527
121.75,27.5,6.7988
120.75,27.625,4.8274
120.875,27.625,7.0185
121.0,27.625,7.2364
121.125,27.625,7.0028
121.25,27.625,6.2494
121.375,27.625,6.0334
121.5,27.625,5.2711
121.625,27.625,4.9198
121.75,27.625,6.1623
120.75,27.75,5.7387
120.875,27.75,8.7136
121.0,27.75,2.865
121.125,27.75,6.1075
121.25,27.75,6.6064
121.375,27.75,5.606
121.5,27.75,5.1193
121.625,27.75,5.5786
121.75,27.75,5.5658
120.875,27.875,4.9375
121.0,27.875,4.2214
121.125,27.875,4.6217
121.25,27.875,6.7838
121.375,27.875,6.8694
121.5,27.875,5.2156
121.625,27.875,5.6706
121.75,27.875,6.4624
120.75,28.0,5.775
121.0,28.0,7.287
121.125,28.0,3.7132
121.25,28.0,6.5277
121.375,28.0,5.9436
121.5,28.0,5.7871
121.625,28.0,6.9943
121.75,28.0,5.3335
121.125,28.125,6.9036
121.25,28.125,6.5394
121.375,28.125,3.7875
121.5,28.125,3.9415
121.625,28.125,5.3543
121.75,28.125,7.1259
121.125,28.25,6.4331
121.25,28.25,5.0004
121.5,28.25,4.1771
121.625,28.25,5.5538
121.75,28.25,8.1259
121.625,28.375,3.7275
121.75,28.375,4.7512
121.625,28.5,4.9323
121.75,28.5,7.5239
121.625,28.625,5.7867
121.75,28.625,5.7848
121.75,28.75,3.507
121.75,28.875,3.3678
121.75,29.0,5.8757
121.5,29.125,6.3665
121.625,29.125,6.9538
121.75,29.125,6.8161
121.5,29.5,4.833
121.625,29.5,4.9785
